Complexity metrics,joi, 12 ian. 2023 10:26:12 EET
Method,CogC,ev(G),iv(G),v(G)
sn.socialnetwork.service.Network.getCommunities(),2,1,2,2
sn.socialnetwork.service.Network.getFriendRequestsOf(User),1,1,2,2
sn.socialnetwork.service.Network.getFriendsOf(User),1,1,2,2
"sn.socialnetwork.service.Network.getMessagesBetween(Long, Long)",3,1,4,4
sn.socialnetwork.service.Network.getMessagesFrom(Long),0,1,1,1
sn.socialnetwork.service.Network.getUserById(Long),0,1,1,1
sn.socialnetwork.service.Network.loadDefaultNetwork(),0,1,1,1
sn.socialnetwork.service.Network.mostSociableCommunity(),3,1,2,3
sn.socialnetwork.service.Network.postMessage(Message),0,1,1,1
sn.socialnetwork.service.Network.removeFriendship(Long),0,1,1,1
sn.socialnetwork.service.Network.removeUser(Long),0,1,1,1
sn.socialnetwork.service.Network.updateFriendship(Friendship),0,1,1,1
sn.socialnetwork.service.Network.updateUser(User),0,1,1,1
sn.socialnetwork.service.Path.Path(),0,1,1,1
"sn.socialnetwork.service.Path.Path(Long, Long)",0,1,1,1
sn.socialnetwork.service.Path.canJoin(Path),11,7,5,9
sn.socialnetwork.service.Path.head(),0,1,1,1
sn.socialnetwork.service.Path.join(Path),5,4,3,5
sn.socialnetwork.service.Path.length(),0,1,1,1
sn.socialnetwork.service.Path.reversed(),1,1,2,2
sn.socialnetwork.service.Path.tail(),0,1,1,1
sn.socialnetwork.service.Path.toString(),0,1,1,1
"sn.socialnetwork.service.Service.Service(IRepo<ID, E>)",0,1,1,1
sn.socialnetwork.service.Service.add(E),0,1,1,1
sn.socialnetwork.service.Service.exists(Predicate<E>),3,3,2,3
sn.socialnetwork.service.Service.getAll(),0,1,1,1
sn.socialnetwork.service.Service.getById(ID),0,1,1,1
sn.socialnetwork.service.Service.remove(ID),1,2,1,2
sn.socialnetwork.service.Service.update(E),0,1,1,1
"sn.socialnetwork.service.UserService.UserService(IRepo<Long, User>, IService<Long, Friendship>)",0,1,1,1
sn.socialnetwork.service.UserService.generateNewId(),0,1,1,1
sn.socialnetwork.service.UserService.remove(Long),3,1,3,3
sn.socialnetwork.ui.SocialNetworkApplication.getLoader(String),0,1,1,1
sn.socialnetwork.ui.SocialNetworkApplication.main(String[]),0,1,1,1
sn.socialnetwork.ui.SocialNetworkApplication.start(Stage),0,1,1,1
"updateItem(Message, boolean)",9,n/a,n/a,n/a

Class,OCavg,OCmax,WMC
sn.socialnetwork.Main,"1,00",1,1
sn.socialnetwork.controller.Globals,"1,00",1,1
sn.socialnetwork.controller.LoginViewController,"1,33",2,4
sn.socialnetwork.controller.SocialNetworkController,"1,20",2,6
sn.socialnetwork.controller.UserViewController,"1,60",4,40
sn.socialnetwork.domain.Entity,"1,00",1,5
sn.socialnetwork.domain.Friendship,"1,14",3,16
sn.socialnetwork.domain.Message,"1,15",3,15
sn.socialnetwork.domain.User,"1,00",1,14
sn.socialnetwork.domain.validators.EmailValidator,"3,00",3,3
sn.socialnetwork.domain.validators.FriendshipValidator,"2,50",4,5
sn.socialnetwork.domain.validators.MessageValidator,"3,00",5,6
sn.socialnetwork.domain.validators.NameValidator,"9,00",9,9
sn.socialnetwork.domain.validators.UserValidator,"4,00",4,4
sn.socialnetwork.domain.validators.ValidationException,"1,00",1,5
sn.socialnetwork.factory.ReportFactory,"2,33",5,7
sn.socialnetwork.repo.AbstractDatabaseRepo,"1,71",2,12
sn.socialnetwork.repo.DatabaseRepo,"2,57",8,36
sn.socialnetwork.repo.EntityAlreadyExistsException,n/a,n/a,0
sn.socialnetwork.repo.FileRepo,"2,00",3,16
sn.socialnetwork.repo.FriendshipDatabaseRepo,"1,00",1,8
sn.socialnetwork.repo.FriendshipFileRepo,"1,00",1,3
sn.socialnetwork.repo.IdNullException,n/a,n/a,0
sn.socialnetwork.repo.InMemoryRepo,"1,83",3,11
sn.socialnetwork.repo.MessageFileRepo,"1,00",1,3
sn.socialnetwork.repo.UserDatabaseRepo,"1,00",1,8
sn.socialnetwork.repo.UserFileRepo,"1,00",1,3
sn.socialnetwork.reports.AbstractReport,"1,00",1,2
sn.socialnetwork.reports.CombinedReport,"1,00",1,3
sn.socialnetwork.reports.Report,"1,00",1,4
sn.socialnetwork.reports.ReportType,n/a,n/a,0
sn.socialnetwork.reports.actions.AddReport,"1,00",1,2
sn.socialnetwork.reports.actions.RemoveReport,"1,00",1,2
sn.socialnetwork.reports.actions.UpdateReport,"1,00",1,2
sn.socialnetwork.service.Auth,"1,50",2,3
sn.socialnetwork.service.Community,"2,62",9,21
sn.socialnetwork.service.EntityIdNotFoundException,n/a,n/a,0
sn.socialnetwork.service.FriendshipService,"1,33",2,4
sn.socialnetwork.service.MessageService,"1,00",1,2
sn.socialnetwork.service.Network,"1,15",3,23
sn.socialnetwork.service.Path,"2,22",7,20
sn.socialnetwork.service.Service,"1,43",3,10
sn.socialnetwork.service.UserService,"1,67",3,5
sn.socialnetwork.ui.SocialNetworkApplication,"1,00",1,3
sn.socialnetwork.utils.Constants,n/a,n/a,0
sn.socialnetwork.utils.find_strategies.UserFindStrategy,n/a,n/a,0

Package,v(G)avg,v(G)tot
sn.socialnetwork,"1,00",1
sn.socialnetwork.controller,"1,82",60
sn.socialnetwork.domain,"1,26",58
sn.socialnetwork.domain.validators,"2,67",32
sn.socialnetwork.factory,"2,00",6
sn.socialnetwork.repo,"2,08",125
sn.socialnetwork.reports,"1,00",9
sn.socialnetwork.reports.actions,"1,00",6
sn.socialnetwork.service,"1,80",97
sn.socialnetwork.ui,"1,00",3

Module,v(G)avg,v(G)tot
SocialNetwork.main,"1,75",397

Project,v(G)avg,v(G)tot
project,"1,75",397

